site,date,start_hour,value,variable,units,quality,prelim,name 
3810,2017-10-03,8,0.0219,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,9,0.0137,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,10,0.0222,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,11,0.0143,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,12,0.0222,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,13,0.0214,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,14,0.0230,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,15,0.0192,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,16,0.0177,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,17,0.0163,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,18,0.0173,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,19,0.0376,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,20,0.0415,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,21,0.0292,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,22,0.0224,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,23,0.0152,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,0,0.0120,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,1,0.0123,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,2,0.0088,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,4,0.0451,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,5,0.0533,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,6,0.0695,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,7,0.0552,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,8,0.0318,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,9,0.0249,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,10,0.0250,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,11,0.0282,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,12,0.0241,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,13,0.0219,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,14,0.0259,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,15,0.0241,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,16,0.0274,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,17,0.0248,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,18,0.0284,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,19,0.0200,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,20,0.0286,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,21,0.0215,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,22,0.0224,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,23,0.0214,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,0,0.0198,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
