site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name 
3661,2017-10-02,17,67.64,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-02,18,63.68,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-02,19,60.08,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-02,20,58.46,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-02,21,56.66,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-02,22,56.84,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-02,23,56.30,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-03,0,53.06,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-03,1,52.34,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-03,2,51.08,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-03,3,51.62,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-03,4,51.26,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-03,5,50.54,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-03,6,51.08,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-03,7,54.32,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-03,8,57.92,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-03,9,60.26,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-03,10,63.86,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-03,11,68.18,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-03,12,72.50,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-03,13,72.86,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-03,14,72.68,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,San Jose-Jackson Street 
3661,2017-10-03,15,73.40,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,San Jose-Jackson Street 
