site,date,start_hour,value,variable,units,quality,prelim,name 
3810,2017-10-03,8,0.0147,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,9,0.0103,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,10,0.0147,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,11,0.0112,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,12,0.0159,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,13,0.0161,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,14,0.0174,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,15,0.0154,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,16,0.0147,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,17,0.0159,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,18,0.0180,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,19,0.0305,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,20,0.0301,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,21,0.0244,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,22,0.0192,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,23,0.0143,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,0,0.0123,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,1,0.0117,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,2,0.0088,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,4,0.0255,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,5,0.0240,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,6,0.0260,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,7,0.0254,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,8,0.0191,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,9,0.0170,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,10,0.0175,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,11,0.0205,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,12,0.0174,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,13,0.0172,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,14,0.0206,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,15,0.0209,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,16,0.0241,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,17,0.0220,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,18,0.0241,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,19,0.0190,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,20,0.0241,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,21,0.0218,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,22,0.0226,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,23,0.0221,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,0,0.0202,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,1,0.0192,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,2,0.0152,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,4,0.0236,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,5,0.0269,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,6,0.0282,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,7,0.0293,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,8,0.0346,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,9,0.0330,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,10,0.0290,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,11,0.0249,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,12,0.0243,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,13,0.0229,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,14,0.0223,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,15,0.0208,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,16,0.0248,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,17,0.0243,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,18,0.0293,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,19,0.0246,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,20,0.0286,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,21,0.0340,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,22,0.0285,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,23,0.0258,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,0,0.0244,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,1,0.0293,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,2,0.0264,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,4,0.0277,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,5,0.0292,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,6,0.0253,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,7,0.0356,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,8,0.0365,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,9,0.0347,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,10,0.0297,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,11,0.0327,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,12,0.0322,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,13,0.0214,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,14,0.0208,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,15,0.0211,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,16,0.0267,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,17,0.0304,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,18,0.0370,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,19,0.0410,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,20,0.0439,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,21,0.0416,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,22,0.0389,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,23,0.0333,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,0,0.0258,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,1,0.0300,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,2,0.0292,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,4,0.0298,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,5,0.0314,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,6,0.0312,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,7,0.0327,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,8,0.0290,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,9,0.0339,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,10,0.0350,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,11,0.0217,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,12,0.0195,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,13,0.0196,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,14,0.0152,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,15,0.0159,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,16,0.0160,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,17,0.0135,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,18,0.0183,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,19,0.0199,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,20,0.0197,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,21,0.0173,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,22,0.0173,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
