site,date,start_hour,value,variable,units,quality,prelim,name 
3810,2017-10-03,9,0.4170,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,10,0.4850,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,11,0.4230,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,12,0.4710,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,13,0.5100,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,14,0.5480,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,15,0.5310,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,16,0.4950,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,17,0.4880,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,18,0.4830,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,19,0.7550,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,20,0.8240,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,21,0.7130,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,22,0.6200,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-03,23,0.4530,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,0,0.4160,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,1,0.4170,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,2,0.3680,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,4,0.7090,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,5,0.8730,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,6,1.0390,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,7,0.7910,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,8,0.5460,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,9,0.4960,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,10,0.4650,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,11,0.5090,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,12,0.4910,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,13,0.5000,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,14,0.5460,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,15,0.5990,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,16,0.6810,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,17,0.6490,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,18,0.6790,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
