site,date,start_hour,value,variable,units,quality,prelim,name 
3810,2017-10-02,17,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,18,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,19,16,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,20,13,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,21,13,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,22,13,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-02,23,13,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-03,0,14,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-03,1,12,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-03,2,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-03,3,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-03,4,12,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-03,5,18,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-03,6,15,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-03,7,9,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-03,8,17,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-03,9,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-03,11,11,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-03,12,11,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-03,13,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-03,14,15,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-03,15,11,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-03,16,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-03,17,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-03,18,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-03,19,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-03,20,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-03,21,21,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-03,22,14,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-03,23,13,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-04,0,11,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-04,1,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-04,2,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-04,3,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-04,4,12,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-04,5,11,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-04,6,15,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-04,7,11,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-04,8,11,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-04,9,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-04,10,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-04,11,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-04,12,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-04,13,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-04,14,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-04,15,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-04,16,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-04,17,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-04,18,12,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-04,19,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-04,20,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-04,21,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-04,22,13,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-04,23,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-05,0,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-05,1,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-05,2,12,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-05,3,15,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-05,4,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-05,5,15,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-05,6,33,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-05,7,9,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-05,8,15,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-05,9,16,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-05,10,9,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-05,11,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-05,12,9,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-05,13,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-05,14,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-05,15,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-05,16,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-05,17,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-05,18,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-05,19,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-05,20,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-05,21,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
3810,2017-10-05,22,19,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,San Jose-Knox Avenue                     
